platform;listing_id;location_coordinates_0;location_coordinates_1;address_city
CASAMUNDO;2573908;38.842399;-106.120291;Buena Vista
HOMEAWAY;321.572837.1120154;38.580779;-106.924749;Gunnison
HOMEAWAY;321.462484.1045595;38.5224889;-106.9792813;Gunnison
HOMEAWAY;321.904554.1452495;38.5309722;-106.9554379;Gunnison
HOMEAWAY;321.650860.1198649;38.54204043;-106.94255897;Gunnison
HOMEAWAY;321.873044.1420983;38.804791;-106.882313;Crested Butte
HOMEAWAY;321.324145.324145;38.58587265;-106.92577362;Gunnison
HOMEAWAY;321.402155.402155;38.53879547;-106.93517303;Gunnison
HOMEAWAY;321.261609.261609;38.54486084;-106.94459534;Gunnison
HOMEAWAY;321.648134.1195923;38.798485;-106.92487729;Crested Butte
HOMEAWAY;321.756940.1304878;38.55109988;-106.93736227;Gunnison
HOMEAWAY;321.832179.1380118;38.591989;-106.923529;Gunnison
HOMEAWAY;321.368474.368474;38.6089863;-106.5143002;Gunnison
HOMEAWAY;321.320863.320863;38.72766469;-106.77657156;Crested Butte
HOMEAWAY;321.892803.1440744;38.73552426;-106.7703064;
HOMEAWAY;321.387995.387995;38.65770721;-106.85047913;Gunnison
HOMEAWAY;321.660386.1208252;38.721585;-106.774129;
HOMEAWAY;121.3011558.3322174;38.496577;-106.711085;Gunnison
HOMEAWAY;321.667149.1215075;38.56672731;-106.60109871;Ohio City
HOMEAWAY;321.89805.89805;38.74610637;-106.70955703;
HOMEAWAY;321.587574.1134891;38.61692664;-106.51652831;
HOMEAWAY;321.401183.401183;38.49863434;-106.72640228;Gunnison
HOMEAWAY;321.250756.250756;38.496577;-106.711085;Gunnison
HOMEAWAY;321.458533.1041644;38.729079;-106.772554;
HOMEAWAY;121.4209895.4613870;38.83176;-106.15607;Buena Vista
HOMEAWAY;321.978993.1526948;38.5421106;-106.1879369;Salida
HOMEAWAY;121.3893257.4266777;38.844;-106.129;Buena Vista
HOMEAWAY;321.824755.1372693;39.16435221;-106.03659115;Fairplay
HOMEAWAY;321.871514.1419453;38.8408837;-106.1199604;Buena Vista
HOMEAWAY;321.824117.1372055;38.831108;-106.156075;Buena Vista
HOMEAWAY;121.4218641.4623935;38.84354;-106.12575;Buena Vista
HOMEAWAY;321.510242.1093423;39.1599379;-106.056511;Fairplay
HOMEAWAY;321.706381.1254319;38.8421225;-106.1201702;Buena Vista
HOMEAWAY;121.193959.489058;39.1653707;-106.049316;Fairplay
HOMEAWAY;321.787844.1335782;38.921407;-105.915255;Hartsel
HOMEAWAY;321.231808.231808;38.84168625;-106.12187195;Buena Vista
HOMEAWAY;321.425459.1008509;38.8388724;-106.1221992;Buena Vista
HOMEAWAY;321.940249.1488195;38.838927;-106.157533;Buena Vista
HOMEAWAY;321.862827.1410766;38.834227;-106.154648;Buena Vista
HOMEAWAY;321.616275.1163784;38.8849449;-105.9029567;Hartsel
HOMEAWAY;321.888149.1436089;38.840486;-106.135945;Buena Vista
HOMEAWAY;121.4359236.4773378;38.84103;-106.13605;Buena Vista
HOMEAWAY;321.69638.69638;39.1513459;-106.043141;Fairplay
HOMEAWAY;321.836685.1384624;39.15758465;-106.04795756;Fairplay
HOMEAWAY;321.430423.1013473;38.8677599;-106.138441;Buena Vista
HOMEAWAY;121.3609593.3624020;38.892817;-105.9565889;Hartsel
HOMEAWAY;321.515665.1098846;38.8430389;-106.1207303;Buena Vista
HOMEAWAY;321.963868.1511823;38.84389187;-106.12839231;Buena Vista
HOMEAWAY;321.981526.1529481;38.54135028;-106.19323554;Salida
HOMEAWAY;321.167314.167314;38.92889954;-105.83070236;Hartsel
HOMEAWAY;321.957587.1505542;39.13272396;-106.04044779;Fairplay
HOMEAWAY;321.851782.1399721;38.8424053;-106.1212587;Buena Vista
HOMEAWAY;121.330537.3092704;39.1626236;-106.0573504;Fairplay
HOMEAWAY;321.827917.1375855;38.8303;-106.148293;Buena Vista
HOMEAWAY;321.445617.1028688;38.841523;-106.127482;Buena Vista
HOMEAWAY;321.977235.1525190;39.13362108;-105.91064046;Fairplay
HOMEAWAY;321.981181.1529136;38.53989565;-106.18868561;Salida
HOMEAWAY;321.309388.309388;38.84249115;-106.12023926;Buena Vista
HOMEAWAY;321.419166.1002214;38.8410502;-106.1197792;Buena Vista
HOMEAWAY;321.573456.1120773;38.842948;-106.1207717;Buena Vista
HOMEAWAY;321.241639.241639;38.84211349;-106.12024689;Buena Vista
HOMEAWAY;321.979054.1527009;38.53594006;-106.18316168;Salida
HOMEAWAY;321.920149.1468090;38.83757157;-106.12119983;Buena Vista
HOMEAWAY;321.569610.1116927;38.84119076;-106.11976624;Buena Vista
HOMEAWAY;321.981501.1529456;38.5394961;-106.19161048;Salida
HOMEAWAY;321.570874.1118191;38.837865;-106.164288;Buena Vista
HOMEAWAY;321.133896.133896;38.84222;-106.13113;Buena Vista
HOMEAWAY;321.738276.1286214;38.8336309;-106.130374;Buena Vista
HOMEAWAY;321.979033.1526988;38.53864018;-106.18390482;Salida
HOMEAWAY;321.981132.1529087;38.53736821;-106.18524987;Salida
HOMEAWAY;321.514782.1097963;38.84150696;-106.12912651;Buena Vista
HOMEAWAY;121.3750519.3765270;38.897;-105.955;Hartsel
HOMEAWAY;121.4258765.4666164;38.842803;-106.1368169;Buena Vista
HOMEAWAY;321.981651.1529606;38.54455247;-106.1883614;Salida
HOMEAWAY;321.980572.1528527;38.53860718;-106.18635175;Salida
HOMEAWAY;321.349747.349747;38.75659943;-106.18286896;Buena Vista
HOMEAWAY;321.441863.1024934;38.540747;-106.3176469;Salida
HOMEAWAY;321.799005.1346943;38.55033857;-106.29028109;
HOMEAWAY;321.227566.227566;38.72139714;-106.18121966;Nathrop
HOMEAWAY;121.4222626.4628238;38.55266;-106.29266;Salida
HOMEAWAY;321.661798.1209700;38.719767;-106.1864499;Nathrop
HOMEAWAY;121.4372319.4790553;38.71453;-106.21889;Nathrop
HOMEAWAY;121.3718770.3733491;38.755411;-106.1680389;Buena Vista
HOMEAWAY;321.659191.1207057;38.71954957;-106.18642384;Nathrop
HOMEAWAY;321.339683.339683;38.55224159;-106.28969709;Salida
HOMEAWAY;321.954690.1502636;38.71538384;-106.21853996;Nathrop
HOMEAWAY;321.620323.1167832;38.696195;-106.3519589;Nathrop
HOMEAWAY;321.611157.1158474;38.718971;-106.177061;Nathrop
HOMEAWAY;321.692523.1240461;38.75526674;-106.17557109;Buena Vista
HOMEAWAY;321.726465.1274403;38.71078847;-106.28749806;Nathrop
HOMEAWAY;321.662626.1210528;38.719767;-106.1864499;Nathrop
HOMEAWAY;321.651694.1199483;38.537295;-106.188118;Salida
HOMEAWAY;321.66261.66261;38.5525675;-106.2921204;Salida
HOMEAWAY;321.585061.1132378;38.649721;-106.361003;Nathrop
HOMEAWAY;321.608463.1155780;38.719767;-106.1864499;Nathrop
HOMEAWAY;321.213262.213262;38.55266679;-106.292655;Salida
HOMEAWAY;121.312126.400968;38.54221;-106.191045;Salida
HOMEAWAY;321.110775.110775;38.71230316;-106.28366852;Nathrop
HOMEAWAY;321.226454.226454;38.55255062;-106.29199949;Salida
HOMEAWAY;321.414032.414032;38.5521698;-106.29162598;Salida
HOMEAWAY;321.492006.1075187;38.7328649;-106.168877;Nathrop
HOMEAWAY;321.829928.1377866;38.71373;-106.218554;Nathrop
HOMEAWAY;321.400182.400182;38.711144;-106.280584;Nathrop
HOMEAWAY;321.696887.1244825;38.714532;-106.2138389;Nathrop
HOMEAWAY;321.306389.306389;38.72847366;-106.16994476;Nathrop
HOMEAWAY;321.84728.84728;38.71114737;-106.279995;Nathrop
HOMEAWAY;121.214446.352831;38.55195268;-106.28901701;Salida
HOMEAWAY;321.432896.1015946;38.7216438;-106.17343896;Nathrop
HOMEAWAY;121.3878197.4251717;39.185901;-106.820472;Aspen
HOMEAWAY;121.3878209.4251729;39.185478;-106.820357;Aspen
HOMEAWAY;321.855897.1403836;39.1863323;-106.8163265;Aspen
HOMEAWAY;121.4065671.4461167;39.186105;-106.821804;Aspen
HOMEAWAY;121.4068939.4464825;39.18377155;-106.81528488;Aspen
HOMEAWAY;121.3886782.4260302;39.18867687;-106.82098852;Aspen
HOMEAWAY;121.3886777.4260297;39.18752934;-106.81901095;Aspen
HOMEAWAY;121.231877.3019375;39.189069;-106.822127;Aspen
HOMEAWAY;321.664964.1212866;39.1863074;-106.8161945;Aspen
HOMEAWAY;121.237225.3024723;39.18638119;-106.81914568;Aspen
HOMEAWAY;121.3886771.4260291;39.19005333;-106.82103009;Aspen
HOMEAWAY;321.793330.1341268;39.185347;-106.82239;Aspen
HOMEAWAY;321.575364.1122681;39.187016;-106.815164;Aspen
HOMEAWAY;321.283613.283613;39.18771432;-106.82463747;Aspen
HOMEAWAY;321.830674.1378612;39.18507;-106.82007;Aspen
HOMEAWAY;321.213893.213893;39.18518448;-106.81723785;Aspen
HOMEAWAY;321.686475.1234413;39.1866653;-106.8162305;Aspen
HOMEAWAY;321.398030.398030;39.18609147;-106.81197299;Aspen
HOMEAWAY;121.326856.3089021;39.1860255;-106.8131199;Aspen
HOMEAWAY;121.4054207.4448564;39.182257;-106.807138;Aspen
HOMEAWAY;321.663119.1211021;39.185008;-106.821597;Aspen
HOMEAWAY;321.556924.1104241;39.1857083;-106.8219;Aspen
HOMEAWAY;121.3723865.3738586;39.18913;-106.8228759;Aspen
HOMEAWAY;121.4054211.4448568;39.185347;-106.82239;Aspen
HOMEAWAY;121.4054217.4448574;39.187741;-106.816078;Aspen
HOMEAWAY;121.4054210.4448567;39.180722;-106.81131;Aspen
HOMEAWAY;121.4054186.4448543;39.185638;-106.81237;Aspen
HOMEAWAY;121.4054206.4448563;39.1888985;-106.817794;Aspen
HOMEAWAY;121.4054205.4448562;39.184821;-106.815466;Aspen
HOMEAWAY;321.883537.1431477;39.40331733;-107.21400097;Carbondale
HOMEAWAY;121.212198.3006626;39.40332599;-107.21387845;Carbondale
HOMEAWAY;321.728303.1276241;39.52588037;-107.32130378;Glenwood Springs
HOMEAWAY;321.390565.390565;39.66283715;-107.52416878;New Castle
HOMEAWAY;321.626671.1174452;39.6012202;-107.4462544;Glenwood Springs
HOMEAWAY;321.969208.1517163;39.567174;-107.370684;Glenwood Springs
HOMEAWAY;321.917145.1465086;39.585616;-107.528838;New Castle
HOMEAWAY;121.4316462.4726967;39.616889;-107.54716;New Castle
HOMEAWAY;321.956513.1504468;39.5671618;-107.3671325;Glenwood Springs
HOMEAWAY;321.883672.1431612;39.580589;-107.538035;New Castle
HOMEAWAY;321.500251.1083432;39.2362163;-107.7900215;Collbran
HOMEAWAY;321.559477.1106794;39.5384001;-107.6461458;Silt
HOMEAWAY;321.939270.1487216;39.21811486;-107.78483002;Collbran
HOMEAWAY;321.889316.1437257;39.21828615;-107.78761494;Collbran
HOMEAWAY;321.927865.1475806;39.21682491;-107.7878987;Collbran
HOMEAWAY;321.446839.1029910;39.5494701;-107.7002211;Rifle
HOMEAWAY;321.861602.1409541;39.668869;-107.702574;Rifle
HOMEAWAY;321.494461.1077642;39.5480818;-107.6974666;Silt
HOMEAWAY;321.333025.333025;39.2092354;-106.94880577;Aspen
HOMEAWAY;321.489613.1072794;39.6235278;-106.541846;Edwards
HOMEAWAY;321.683331.1231269;39.60094363;-106.52184259;Beaver Creek
HOMEAWAY;121.176961.472059;39.62263712;-106.52436087;Beaver Creek
HOMEAWAY;321.590516.1137833;39.3869126;-107.0842459;Basalt
HOMEAWAY;321.497248.1080429;39.632945;-106.533837;Avon
HOMEAWAY;321.885234.1433174;39.193413;-106.812995;Aspen
HOMEAWAY;321.489616.1072797;39.6203929;-106.5468747;Edwards
HOMEAWAY;321.53562.53562;39.1940155;-106.83165741;Aspen
HOMEAWAY;321.401746.401746;39.63294601;-106.53383636;Avon
HOMEAWAY;321.90640.90640;39.633358;-106.56244659;Edwards
HOMEAWAY;321.602698.1150015;39.2060751;-106.9542959;Aspen
HOMEAWAY;121.3499631.3477367;39.626797;-106.514781;Avon
HOMEAWAY;321.681131.1229069;39.6329987;-106.5246065;Avon
HOMEAWAY;321.242194.242194;39.20967899;-106.9488873;Aspen
HOMEAWAY;321.743515.1291453;39.62366554;-106.54765031;Edwards
HOMEAWAY;121.3860039.4233559;39.63522;-106.5239894;Avon
HOMEAWAY;121.4138476.4538837;39.6364139;-106.58050528;Edwards
